0,0,0,0,0,0
9532,-9156,-3408,1434,-1309,-123
8632,-9244,-3092,1420,755,-17
6636,-12156,-484,2039,-1964,1663
2448,-12432,-1060,4024,-208,9742
-4460,-14056,-6892,5885,-8925,21743
-6496,-10864,-7112,-1713,-7588,27767
-6484,-6936,-3376,-5597,-9089,29215
-2368,-4756,-404,-8255,-8644,32691
2988,3928,1836,-3423,-11516,28570
4324,11432,6452,-6738,-1812,21273
23236,30840,-384,-9694,22258,15066
5032,21936,2264,702,-4552,-868
676,21852,8744,1700,826,-603
-768,25384,9420,1467,-5367,2881
2352,22364,12740,5401,-12429,4758
1828,19204,9516,9273,-8018,-880
2948,15880,12016,19543,-14125,-2114
4288,16772,-1184,16992,-1119,-3711
7452,11740,-2844,10505,6365,-7431
2884,13748,-9052,12268,5674,-5349
5436,19952,-15688,945,-1253,2882
2136,19896,-11388,-3030,2599,43
16,18216,-10996,-11155,-54,4718
2252,15756,-5492,-18632,271,5634
4040,13064,-556,-17913,9421,7551
9544,13160,5804,-24044,6134,2155
-5244,17064,17936,-10536,2980,-2926
1280,18784,32767,11560,3304,5331
-1668,23228,20984,2577,-4026,-1244
3628,20788,12672,8230,-4284,-1990
2416,22100,10980,3114,-224,4222
4616,22764,18372,5234,-10776,3120
-680,19168,15236,12103,2367,-261
6780,18424,4064,15256,-11308,-378
8208,17380,-1660,16623,-6412,-2198
6836,12020,-2544,15528,-2654,-9617
-832,14784,-10568,11540,-5658,-4759
420,19196,-12072,2124,-5752,967
3780,20788,-8944,-684,-684,1211
1772,20496,-9736,-3776,802,1860
2272,18392,-7400,-8562,-939,5184
6272,17480,-7060,-13893,-594,6149
6456,15652,-3868,-21089,8562,1837
4492,13240,3984,-23007,15472,-2761
-4012,14548,14844,-17133,13387,-4702
-6864,17360,25596,-90,1231,-2979
-1520,20128,10120,4014,-10605,-3708
3556,20856,13256,-1930,-2421,-7783
-2492,18308,9676,1387,7259,-7845
-2104,18976,11100,8986,-104,136
1348,23580,17192,16744,-8816,9162
-1832,22716,7556,17880,3709,10669
4708,20056,-5036,20688,-332,5859
2072,17612,-6176,15813,-16889,6454
1672,13944,-9060,15075,-6571,2187
3988,12716,-14352,13210,-3195,-2877
3672,14060,-11496,3505,-6955,-2232
2440,16532,-13816,3219,4253,1163
3660,17440,-16312,-2489,-1526,277
3036,17164,-12956,-6279,-5045,3143
3136,16644,-11480,-9381,-6177,4772
5008,15960,-10960,-14786,-88,4821
10196,14048,-6900,-21059,10079,227
4104,14604,1892,-26364,11538,-6370
92,16796,5004,-22823,15557,-8823
-2236,18712,12416,-6742,14550,-10922
-8180,20812,1044,-1052,21689,-12047
-6464,21152,6016,1147,7617,-22115
-5640,15060,7336,4553,-3645,3180
-7936,13556,4280,1630,-633,1917
-6872,15464,9140,782,-631,5491
-11160,17000,14288,7417,2535,6628
-7568,16444,9468,16082,-12797,11731
-4776,13416,2824,15952,3676,5446
1236,14652,-2780,14810,-5573,4807
2576,12492,-5064,14650,1854,-737
4240,14092,-9024,12322,-1165,1146
4344,17924,-12668,1948,-3315,935
3980,19480,-8900,-445,675,-361
916,19996,-8188,-1076,919,-2218
-2988,16964,-11272,-7857,281,115
-960,13460,-4024,-13245,-665,4772
3372,11404,-740,-18648,211,3621
3888,16156,196,-18556,9803,1782
2844,14904,4952,-18155,11870,-2401
-6260,18364,19160,-3531,11004,-10339
-9808,20680,5936,17334,10877,-4526
-9820,18344,5088,8883,-10630,-5820
-8780,16644,4912,-1369,-3625,3791
-4588,13980,3356,-1050,-2454,7669
-5436,22284,11788,-149,-9084,8493
-1672,21272,19092,12564,-9255,7257
-2776,16136,4948,10539,5420,3230
5512,13960,-2216,15371,-17932,8095
2188,12636,-4176,18043,-5166,1233
4204,14936,-4308,14969,-6636,-319
0,0,0,0,0,0
1588,-4020,8332,2687,775,1522
1220,-3796,8728,1425,-249,339
400,-3244,9056,417,-773,1625
8,-2348,10332,1367,-714,2950
-6312,1256,15120,7645,171,7134
-11324,2364,15124,8222,-2394,13936
-8844,3580,18820,11622,-4284,24000
-10224,7648,12424,14045,4977,24635
-1624,6956,6020,17669,9929,32767
10500,6932,7712,5931,9747,23172
12900,12548,4412,7266,4241,10812
10988,19480,3624,2088,-2573,-6158
8640,22740,6504,-6541,-5289,-5325
6424,29664,11032,-6435,-9880,617
8704,29180,12876,344,-21428,8387
14040,24640,10260,4306,-21196,5295
14328,17180,6340,15700,-9415,-4060
8524,14500,3476,17869,-5786,-9762
12888,10776,-2284,16807,-4493,-14161
-236,21208,-18512,8400,-11689,-9146
6048,21700,-14176,-1366,-5875,4548
10316,19496,-10288,-2009,-44,4390
7996,16764,-13432,-6658,2694,587
9736,18124,-7748,-10585,6594,6327
12488,16340,936,-7046,13707,1429
14024,15688,10260,-4692,20015,450
17700,15032,7724,12590,19203,-7445
7780,17848,2524,10082,15256,-20615
8224,23160,7328,14561,7950,-15440
6068,26012,1780,3887,4607,-11564
5552,27956,6176,-1265,494,-3525
6208,21968,-692,-790,-516,5048
6672,23832,2664,-2078,756,3857
8104,30852,8484,-2068,-8588,8502
6744,27868,6668,52,-17612,15604
12192,20744,8960,-236,-23487,9130
15384,17084,7460,3978,-17045,8805
16048,17696,1908,9755,-15808,-279
12340,17392,-7108,3136,-16155,-2408
-2452,18936,-8692,-450,-12308,-10596
-4084,27624,-9480,10486,4383,2421
10840,18616,-7560,3477,5161,4496
11644,21176,-10608,309,3202,3157
9920,22940,-6820,-2635,1253,-2242
12328,18088,-5128,-866,7374,1989
7708,16116,1824,3969,7209,2058
12952,15440,4728,9103,13695,2171
14412,16080,8488,9093,20499,-7128
18064,17652,6172,2909,22034,-17909
4360,24476,12400,6188,15065,-23480
6372,26640,4908,9101,-673,-5941
-1392,28152,2684,-3198,1863,-4401
5232,22668,604,-195,-147,-1553
3948,26676,3508,-1258,-73,-3347
4128,31472,8684,-2023,-8446,10215
8252,26488,6116,-2350,-21879,14586
11724,19548,4560,2420,-21465,11616
9372,20408,5312,498,-19342,5596
13636,16964,1016,3348,-14771,-4250
16628,12980,1652,8821,-3358,-13721
7104,16360,-4704,11662,-4877,-16731
-1108,24780,-1692,-3430,-7269,-4316
4672,25004,-744,9639,5432,3669
10308,21760,-8932,3661,2133,2087
9612,23864,-7300,2280,403,-2398
6208,25960,-6188,4864,2069,-290
7140,17748,-8116,-2307,4121,-947
9284,15992,2140,4594,8345,2793
13836,17360,2028,4376,12924,595
14668,18656,6648,9322,17078,-835
21364,17840,6896,6257,18814,-6334
13224,18844,1564,2126,13525,-23870
5332,29476,6592,13505,-72,-12009
1684,26240,-1712,-4490,-550,-3505
7156,22288,-4100,-2958,-581,2845
8292,23012,4308,-1675,-1264,1666
6508,31272,8336,-4930,-7683,9706
7080,28616,7512,-4937,-17472,19790
8508,25028,11236,532,-23846,9760
14412,17248,3132,10744,-24954,3288
15796,14184,-7504,419,-18789,971
8292,16484,-1468,-4311,-19482,-16706
-4408,21384,4084,3126,-8534,-9606
-1280,24696,-10668,7243,4513,6029
10764,22056,-4868,3643,5389,-1002
10668,23472,-2708,3385,18,-1112
5384,23036,-1860,5315,4930,-2728
7680,17728,-10772,9442,11026,5537
7588,17872,-10196,10804,9093,3875
10512,17648,-7392,9196,15083,3088
20540,14968,-6116,6906,21346,-5857
0,0,0,0,0,0
12136,30096,16464,-9638,13298,-23962
3604,25148,380,8194,-1993,-11827
1792,24448,-3800,-3235,-583,-4705
4900,28740,7072,-4562,2480,-5854
6556,-8984,-6720,1977,-4487,-1820
5948,-8588,-6420,5843,-7456,197
7432,-8572,-6040,1113,-2604,-200
9016,-10112,-5344,3043,-4134,-136
6436,-9680,-4200,2797,-2537,2722
-2168,-9100,-5564,8994,-15117,10062
-11848,-15736,-2584,20479,-26330,32767
-6144,-10768,3460,-3885,-20499,32767
-6120,1636,6816,5909,2197,32453
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1888,6868,6992,1353,9054,20461
784,18060,568,146,3431,3826
-456,20996,2316,4136,-2827,-2281
-1628,24472,3972,3303,-5233,3425
2684,24040,3132,3234,-1543,8179
-3980,23492,4460,7339,-3590,-911
-1056,20104,-1804,14172,-2087,-3278
-1,-1,-1,-1,-1,-1
-440,20428,-8524,15638,-3107,4324
5480,16736,-8876,-1715,-9317,3912
-2348,13688,-6304,6760,-7439,-2699
-3164,10240,-7980,5109,-5472,-3158
-2652,11912,-10820,-1442,58,3334
-1076,15556,-9520,-4975,-673,1492
-5388,14528,-6392,-4873,-1086,4429
1720,14524,-10876,-2948,-1767,6857
2252,18140,-9156,-10233,-400,8357
2408,21112,424,-12110,1962,6649
12140,19456,3280,-6801,8541,-2046
8676,20484,436,-871,-3788,-1738
-1652,22640,544,-4546,-1830,-2524
-6120,27592,2668,-4405,1584,-6583
-1876,25892,3624,-2176,1911,-214
-724,22468,4656,254,-2043,5289
1132,26032,9204,6705,-8825,1848
3808,26976,2840,4418,-17474,9474
2260,20916,-3844,7204,-16676,4881
8364,17064,-1976,3897,-5743,-5642
11188,20220,96,-789,-200,-10714
2372,16888,3852,-649,3393,-15161
-1116,15796,2088,4578,-55,-3238
-2388,16612,-2300,2602,-853,-3623
-1232,13732,-5960,-534,-2880,1527
-5520,15108,-2492,3912,-2780,-1741
-3520,15556,-3500,711,1325,412
-6080,13820,-2792,87,760,512
-5664,11328,-2832,2113,-1183,11745
2608,15548,1436,-1520,5194,11286
7400,18148,-2984,-5667,7614,5352
6708,24048,7004,-7750,7835,-4841
-80,23796,5416,5002,12191,-12776
2392,25120,3500,-6378,8241,-9696
-3124,23048,4712,-2640,1854,-2474
-1000,21960,996,611,-346,1748
-2696,23120,1352,-86,1759,226
180,24476,2888,1457,-2612,4779
1388,22888,-168,5851,-167,7066
1612,22428,-412,6902,-2898,3274
7160,20744,-692,8381,-7172,-3100
5408,19296,-764,4677,-13789,3896
3056,14552,1540,11890,-6284,-11931
-492,12484,-124,11132,-5180,-11859
-5152,12192,-3692,8014,-8187,-5710
-5408,13668,-5244,6316,-2507,-5802
-6152,14276,-7856,2773,2425,-2035
-6480,11716,-2552,1742,5210,-2589
-8684,6268,-2980,1482,-2300,1850
-1416,8580,-1220,-10169,11541,14054
2604,17528,-3200,-20210,11482,13335
-1808,24472,-3724,-16936,7989,-4151
-2032,25284,2516,-10006,3392,-9853
-1,-1,-1,-1,-1,-1
-5128,23676,2716,4309,-4400,-1357
352,21492,692,543,-4094,7224
-1120,26056,5460,5576,-87,5632
1068,24496,-2304,13594,4135,1443
512,21980,-7252,13829,-3509,5463
8644,19352,-8000,4577,-3201,-683
-2812,18228,-8780,5643,1549,-5373
-3252,15372,-6628,13141,6354,368
600,9596,-13348,11068,6345,655
-3092,9856,-17684,6809,-2235,1554
2352,12040,-14652,-2563,578,2586
2800,15752,-13644,-4376,-494,805
-1420,13200,-12460,-7834,-5680,1920
-1476,10452,-12180,-14965,-7792,13779
5724,14684,-5756,-9657,-3349,7987
11332,19532,-5060,-10830,2140,5608
15380,21376,4236,-12855,11152,-15
12816,24064,13712,-4942,3512,-13392
1532,27880,14504,-5311,-12064,-15104
-3992,24944,856,3000,-3225,-6694
-360,20324,5424,-1939,-1228,1188
-468,22308,5196,-1057,-264,3559
1488,26960,9396,4248,-1519,5583
5564,25568,6192,14688,-6843,5342
1784,22748,-976,12515,536,-416
